name,division_id
Shidu,22
General Roca,93
Shijing,179
Olutanga,18
Sadao,32
Bila,9
Cadiz,97
Corupá,66
Banjar Sambangan,185
Sant Cugat Del Valles,105
Miānwāli,31
Plast,140
Acobamba,215
Rahama,9
Manggekompo,116
Bang Saphan,161
Bella Vista,211
Carmelo,219
Jabonga,91
Kashiwazaki,4
Daxin,24
Ketovo,85
Gjinkar,201
Bojongaren,213
Áyios Nikólaos,225
Yuecheng,122
Quşrah,213
Utkivka,219
Banovo Polje,41
Mojo,191
Tvøroyri,103
Chīchāwatni,179
Banocboc,184
Manaloal,62
Shuhong,216
Shangtianba,112
Falkenberg,146
Tabunok,33
Wschowa,72
Wawer,131
Xuexi,147
Budenovetc,164
Cluny,194
Shuixi,57
Américo Brasiliense,33
Otaniemi,9
Santiago Atitlán,145
Rejoso,112
Haiyangsuo,152
Motala,102
Najd al Jumā‘ī,215
Burns Lake,207
Chiantla,12
Villa Nueva,226
Beiwenquan,173
Fonte Boa da Brincosa,100
El Dividive,211
Grand Forks,92
Alicia,103
General Pinedo,32
Newark,107
Jinze,142
Skore,76
Knurów,55
Chigan,193
Miringa,25
Bangued,130
Stockholm,127
Labog,68
Anuradhapura,70
Rudnya,158
Kangalassy,57
Kuidou,21
Kalwaria Zebrzydowska,23
Maoping,211
Casma,3
Jinshi,218
Monte Caseros,56
Santa Maria,208
Saguenay,212
Bolnisi,210
Tršić,158
Ust’-Omchug,192
Rosmalen,208
Krosno Odrzańskie,178
Mont-Joli,116
Al Funayţīs,188
Karvia,174
Stockholm,101
Mikhaylov,5
Myhiya,138
Parista,99
Al Bawīţī,65
Lingmen,138
Vaxholm,192
Martapura,227
Buket Teukuh,157
Hénin-Beaumont,129
Drzewica,219
Baitu,91
Tanabe,8
Khinjān,67
Glogovac,215
Rusnė,98
Punkaharju,126
Borodino,142
Bangjun,57
Ucuncha,76
Andradina,189
Banja Luka,126
Houjia,71
Shar’ya,52
Guanshan,125
Przywidz,90
Luoshe,202
Lodoyo,217
Bourges,7
Mamu,212
Khvalovo,115
Llorente,3
El Bauga,194
Montgomery,7
Kansas City,167
Dul’durga,69
Stalowa Wola,107
Vesëlyy,59
Przasnysz,16
Shakhty,79
La Jagua de Ibirico,30
Tinogasta,43
Ambohitseheno,169
Soio,16
Kedungcangkring,217
Jōetsu,122
Masu,121
Xidoupu,205
Shitong,175
Tegalsari,105
Pantijan No 2,156
Kelapa,21
Palaífyto,30
Ursk,21
Oebai,160
Huyu,212
Yangce,75
Borovan,124
Pop,197
Masjed Soleymān,225
Longnawang,56
Monastyrshchina,118
Suchy Las,181
Ning’er,104
Musanze,214
Mairinque,143
Chinoz,172
La Gomera,85
Gravataí,217
Lunel,144
Longar,80
Ovsyanka,112
Chuhuyiv,135
Yanjiatai,25
Ungsang,43
Bolesławiec,211
Shalakusha,97
El Bagre,76
Pushkin,203
Checacupe,206
Chambar,33
Kishi,79
Zarzis,93
Calbuco,27
Selaparang Timur,95
Montpellier,125
Lyon,106
Negotino,18
Nevers,219
Gilowice,86
Tola,193
Cheongpyeong,49
Grimshaw,34
Pasatan,212
Aguasay,58
Malax,12
Blagodatnoye,101
Gurra e Vogël,110
Onan Ganjang Satu,47
Xiejia,139
Lipovljani,28
Musan-ŭp,8
Yampil’,225
Tuwa,43
Abū Qalqal,105
Arma,10
Rahama,5
København,3
Saint Petersburg,28
Campoverde,165
Songgai,219
Nancheng,221
Tayturka,51
Primorsko-Akhtarsk,150
Dawan,131
Chaodi,131
Itararé,152
Yambrasbamba,221
Wubao,134
Jingyang,217
Nizhnyaya Tavda,110
Oguta,216
Ylöjärvi,205
Tacoma,65
Paris 14,191
Cezi,96
Torez,114
Cabanaconde,2
Doruchów,51
Ovsyanka,179
Claremont,92
Gorodishche,34
Har-Us,128
Boucinha,91
Washington,46
Riolândia,99
Savelugu,59
Maydolong,148
Rongxing,23
Xaçmaz,55
Bánov,28
Ljubešćica,60
Tanakawu Dua,225
Brunssum,124
Moinhos,172
Kristiansand S,47
Bogolyubovo,122
Kasungu,165
Bjästa,101
Hebian,70
Osiedle-Nowiny,41
Pakalongan,177
Leeds,194
Ejmiatsin,106
Pirot,177
Milagros,196
Izumo,188
